run number,win number
1,30
2,77
3,16
4,386
5,216
6,139
7,12
8,29
9,79
10,101
11,120
12,2
13,298
14,140
15,82
16,12
17,30
18,353
19,67
20,31
21,133
22,204
23,124
24,26
25,9
26,45
27,45
28,80
29,35
30,23
31,144
32,21
33,63
34,86
35,143
36,54
37,57
38,148
39,151
40,4
41,64
42,3
43,17
44,27
45,8
46,227
47,45
48,279
49,20
50,144
51,76
52,15
53,110
54,55
55,127
56,23
57,133
58,15
59,62
60,105
61,40
62,15
63,90
64,58
65,30
66,93
67,111
68,47
69,85
70,10
71,17
72,164
73,141
74,28
75,72
76,27
77,19
78,283
79,1
80,10
81,32
82,17
83,107
84,75
85,74
86,46
87,110
88,56
89,120
90,157
91,23
92,18
93,82
94,51
95,42
96,30
97,73
98,80
99,89
100,60
